attribute,split,category,n_speakers
gender_ethnicity_age,train,F_INDIAN_1X,5
gender_ethnicity_age,train,F_INDIAN_2X,18
gender_ethnicity_age,train,F_INDIAN_3X,19
gender_ethnicity_age,train,F_INDIAN_4X,4
gender_ethnicity_age,train,F_INDIAN_5X,2
gender_ethnicity_age,train,F_INDIAN_6X,3
gender_ethnicity_age,train,F_MALAY_1X,4
gender_ethnicity_age,train,F_MALAY_2X,7
gender_ethnicity_age,train,F_MALAY_3X,12
gender_ethnicity_age,train,F_MALAY_4X,13
gender_ethnicity_age,train,F_MALAY_5X,2
gender_ethnicity_age,train,M_CHINESE_1X,2
gender_ethnicity_age,train,M_CHINESE_2X,61
gender_ethnicity_age,train,M_CHINESE_3X,21
gender_ethnicity_age,train,M_CHINESE_4X,17
gender_ethnicity_age,train,M_CHINESE_5X,10
gender_ethnicity_age,train,M_CHINESE_6X,6
gender_ethnicity_age,train,M_INDIAN_1X,2
gender_ethnicity_age,train,M_INDIAN_2X,12
gender_ethnicity_age,train,M_INDIAN_3X,20
gender_ethnicity_age,train,M_INDIAN_4X,6
gender_ethnicity_age,train,M_INDIAN_5X,3
gender_ethnicity_age,train,M_INDIAN_6X,2
gender_ethnicity_age,train,M_MALAY_1X,4
gender_ethnicity_age,train,M_MALAY_2X,10
gender_ethnicity_age,train,M_MALAY_3X,25
gender_ethnicity_age,train,M_MALAY_4X,8
gender_ethnicity_age,train,M_MALAY_5X,3
gender_ethnicity_age,val,F_CHINESE_1X,2
gender_ethnicity_age,val,F_CHINESE_2X,16
gender_ethnicity_age,val,F_CHINESE_3X,1
gender_ethnicity_age,val,F_CHINESE_4X,5
gender_ethnicity_age,val,F_CHINESE_5X,6
gender_ethnicity_age,val,F_CHINESE_6X,2
gender_ethnicity_age,val,F_INDIAN_1X,2
gender_ethnicity_age,val,F_INDIAN_2X,5
gender_ethnicity_age,val,F_INDIAN_3X,2
gender_ethnicity_age,val,F_INDIAN_4X,3
gender_ethnicity_age,val,F_INDIAN_5X,1
gender_ethnicity_age,val,F_MALAY_1X,1
gender_ethnicity_age,val,F_MALAY_2X,2
gender_ethnicity_age,val,F_MALAY_3X,4
gender_ethnicity_age,val,F_MALAY_4X,1
gender_ethnicity_age,val,M_CHINESE_1X,3
gender_ethnicity_age,val,M_CHINESE_2X,15
gender_ethnicity_age,val,M_CHINESE_3X,9
gender_ethnicity_age,val,M_CHINESE_4X,1
gender_ethnicity_age,val,M_CHINESE_5X,2
gender_ethnicity_age,val,M_CHINESE_6X,1
gender_ethnicity_age,val,M_INDIAN_2X,2
gender_ethnicity_age,val,M_INDIAN_3X,6
gender_ethnicity_age,val,M_INDIAN_4X,1
gender_ethnicity_age,val,M_INDIAN_5X,1
gender_ethnicity_age,val,M_MALAY_1X,2
gender_ethnicity_age,val,M_MALAY_3X,4
gender_ethnicity_age,val,M_MALAY_4X,2
gender_ethnicity_age,val,M_MALAY_5X,1
gender_ethnicity_age,all,F_CHINESE_1X,21
gender_ethnicity_age,all,F_CHINESE_2X,117
gender_ethnicity_age,all,F_CHINESE_3X,39
gender_ethnicity_age,all,F_CHINESE_4X,25
gender_ethnicity_age,all,F_CHINESE_5X,28
gender_ethnicity_age,all,F_CHINESE_6X,5
gender_ethnicity_age,all,F_INDIAN_1X,8
gender_ethnicity_age,all,F_INDIAN_2X,25
gender_ethnicity_age,all,F_INDIAN_3X,23
gender_ethnicity_age,all,F_INDIAN_4X,10
gender_ethnicity_age,all,F_INDIAN_5X,4
gender_ethnicity_age,all,F_INDIAN_6X,3
gender_ethnicity_age,all,F_MALAY_1X,5
gender_ethnicity_age,all,F_MALAY_2X,11
gender_ethnicity_age,all,F_MALAY_3X,19
gender_ethnicity_age,all,F_MALAY_4X,17
gender_ethnicity_age,all,F_MALAY_5X,3
gender_ethnicity_age,all,M_CHINESE_1X,6
gender_ethnicity_age,all,M_CHINESE_2X,84
gender_ethnicity_age,all,M_CHINESE_3X,34
gender_ethnicity_age,all,M_CHINESE_4X,21
gender_ethnicity_age,all,M_CHINESE_5X,15
gender_ethnicity_age,all,M_CHINESE_6X,8
gender_ethnicity_age,all,M_INDIAN_1X,2
gender_ethnicity_age,all,M_INDIAN_2X,18
gender_ethnicity_age,all,M_INDIAN_3X,29
gender_ethnicity_age,all,M_INDIAN_4X,8
gender_ethnicity_age,all,M_INDIAN_5X,5
gender_ethnicity_age,all,M_INDIAN_6X,2
gender_ethnicity_age,all,M_MALAY_1X,7
gender_ethnicity_age,all,M_MALAY_2X,13
gender_ethnicity_age,all,M_MALAY_3X,35
gender_ethnicity_age,all,M_MALAY_4X,12
gender_ethnicity_age,all,M_MALAY_5X,5
total_speakers,all,ALL,667
