attribute,split,category,n_speakers
gender_ethnicity_age,test,M_MALAY_2X,2
gender_ethnicity_age,test,M_MALAY_3X,1
gender_ethnicity_age,train,F_CHINESE_1X,10
gender_ethnicity_age,train,F_CHINESE_2X,34
gender_ethnicity_age,train,F_CHINESE_3X,25
gender_ethnicity_age,train,F_CHINESE_4X,19
gender_ethnicity_age,train,F_CHINESE_5X,14
gender_ethnicity_age,train,F_CHINESE_6X,8
gender_ethnicity_age,train,F_INDIAN_1X,5
gender_ethnicity_age,train,F_INDIAN_2X,4
gender_ethnicity_age,train,F_INDIAN_3X,4
gender_ethnicity_age,train,F_INDIAN_4X,6
gender_ethnicity_age,train,F_INDIAN_6X,1
gender_ethnicity_age,train,F_MALAY_1X,3
gender_ethnicity_age,train,F_MALAY_2X,6
gender_ethnicity_age,train,F_MALAY_3X,11
gender_ethnicity_age,train,F_MALAY_4X,9
gender_ethnicity_age,train,F_MALAY_5X,3
gender_ethnicity_age,train,M_CHINESE_1X,6
gender_ethnicity_age,train,M_CHINESE_2X,19
gender_ethnicity_age,train,M_CHINESE_3X,20
gender_ethnicity_age,train,M_CHINESE_4X,8
gender_ethnicity_age,train,M_CHINESE_5X,1
gender_ethnicity_age,train,M_CHINESE_6X,5
gender_ethnicity_age,train,M_INDIAN_1X,12
gender_ethnicity_age,train,M_INDIAN_2X,10
gender_ethnicity_age,train,M_INDIAN_3X,7
gender_ethnicity_age,train,M_INDIAN_4X,2
gender_ethnicity_age,train,M_INDIAN_5X,1
gender_ethnicity_age,train,M_INDIAN_6X,1
gender_ethnicity_age,train,M_MALAY_1X,6
gender_ethnicity_age,train,M_MALAY_2X,11
gender_ethnicity_age,train,M_MALAY_3X,7
gender_ethnicity_age,train,M_MALAY_4X,6
gender_ethnicity_age,val,F_CHINESE_1X,2
gender_ethnicity_age,val,F_CHINESE_2X,5
gender_ethnicity_age,val,F_CHINESE_3X,6
gender_ethnicity_age,val,F_CHINESE_4X,3
gender_ethnicity_age,val,F_CHINESE_5X,5
gender_ethnicity_age,val,F_CHINESE_6X,1
gender_ethnicity_age,val,F_INDIAN_1X,1
gender_ethnicity_age,val,F_INDIAN_2X,2
gender_ethnicity_age,val,F_INDIAN_4X,3
gender_ethnicity_age,val,F_MALAY_1X,2
gender_ethnicity_age,val,F_MALAY_2X,3
gender_ethnicity_age,val,F_MALAY_3X,2
gender_ethnicity_age,val,F_MALAY_4X,2
gender_ethnicity_age,val,F_MALAY_5X,1
gender_ethnicity_age,val,M_CHINESE_1X,1
gender_ethnicity_age,val,M_CHINESE_2X,5
gender_ethnicity_age,val,M_CHINESE_3X,3
gender_ethnicity_age,val,M_CHINESE_4X,3
gender_ethnicity_age,val,M_CHINESE_5X,1
gender_ethnicity_age,val,M_CHINESE_6X,1
gender_ethnicity_age,val,M_INDIAN_1X,3
gender_ethnicity_age,val,M_INDIAN_4X,2
gender_ethnicity_age,val,M_MALAY_1X,1
gender_ethnicity_age,val,M_MALAY_2X,3
gender_ethnicity_age,val,M_MALAY_3X,4
gender_ethnicity_age,val,M_MALAY_4X,1
gender_ethnicity_age,all,F_CHINESE_1X,16
gender_ethnicity_age,all,F_CHINESE_2X,46
gender_ethnicity_age,all,F_CHINESE_3X,38
gender_ethnicity_age,all,F_CHINESE_4X,24
gender_ethnicity_age,all,F_CHINESE_5X,22
gender_ethnicity_age,all,F_CHINESE_6X,10
gender_ethnicity_age,all,F_INDIAN_1X,7
gender_ethnicity_age,all,F_INDIAN_2X,6
gender_ethnicity_age,all,F_INDIAN_3X,5
gender_ethnicity_age,all,F_INDIAN_4X,10
gender_ethnicity_age,all,F_INDIAN_6X,2
gender_ethnicity_age,all,F_MALAY_1X,5
gender_ethnicity_age,all,F_MALAY_2X,10
gender_ethnicity_age,all,F_MALAY_3X,15
gender_ethnicity_age,all,F_MALAY_4X,13
gender_ethnicity_age,all,F_MALAY_5X,4
gender_ethnicity_age,all,M_CHINESE_1X,7
gender_ethnicity_age,all,M_CHINESE_2X,31
gender_ethnicity_age,all,M_CHINESE_3X,30
gender_ethnicity_age,all,M_CHINESE_4X,11
gender_ethnicity_age,all,M_CHINESE_5X,3
gender_ethnicity_age,all,M_CHINESE_6X,7
gender_ethnicity_age,all,M_INDIAN_1X,18
gender_ethnicity_age,all,M_INDIAN_2X,12
gender_ethnicity_age,all,M_INDIAN_3X,8
gender_ethnicity_age,all,M_INDIAN_4X,5
gender_ethnicity_age,all,M_INDIAN_5X,1
gender_ethnicity_age,all,M_INDIAN_6X,2
gender_ethnicity_age,all,M_MALAY_1X,9
gender_ethnicity_age,all,M_MALAY_2X,16
gender_ethnicity_age,all,M_MALAY_3X,12
gender_ethnicity_age,all,M_MALAY_4X,7
total_speakers,all,ALL,412
